GeneID,adj.P.Val,pvalue,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
23213,3.22E-79,1.72E-83,0.2271,-19.3586932,-4.3966997,3199.32,SULF1,sulfatase 1
101,5.61E-67,5.99E-71,0.1767,-17.8092243,-3.1467075,315.05,ADAM8,ADAM metallopeptidase domain 8
1301,7.49E-60,1.20E-63,0.3999,-16.8420629,-6.7349122,620.5,COL11A1,collagen type XI alpha 1 chain
7941,2.23E-57,4.76E-61,0.1558,-16.4842732,-2.5689416,179.91,PLA2G7,phospholipase A2 group VII
7188,1.00E-56,2.68E-60,0.1023,-16.3795168,-1.675381,536.59,TRAF5,TNF receptor associated factor 5
57471,9.98E-56,3.20E-59,0.3585,-16.2279747,-5.8181365,48.73,ERMN,ermin
5996,5.18E-52,1.94E-55,0.2287,-15.6843411,-3.5869172,241.05,RGS1,regulator of G protein signaling 1
84251,4.07E-50,1.74E-53,0.1818,-15.3960914,-2.7996456,209.07,SGIP1,SH3GL interacting endocytic adaptor 1
7107,3.02E-49,1.45E-52,0.0984,-15.2581297,-1.5019199,428.86,GPR137B,G protein-coupled receptor 137B
10666,5.67E-49,3.03E-52,0.1946,-15.2101013,-2.9591603,38.61,CD226,CD226 molecule
4973,6.13E-48,3.60E-51,0.3169,-15.0471993,-4.7684275,66.19,OLR1,oxidized low density lipoprotein receptor 1
55824,1.27E-47,8.14E-51,0.1182,-14.9931412,-1.772219,171.2,PAG1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1
7128,4.07E-47,2.82E-50,0.157,-14.9103004,-2.3412815,1090.83,TNFAIP3,TNF alpha induced protein 3
51571,9.71E-47,7.26E-50,0.0686,-14.8471394,-1.0185528,660.52,CYRIB,CYFIP related Rac1 interactor B
50507,3.47E-46,2.78E-49,0.232,-14.7567947,-3.4243036,54.91,NOX4,NADPH oxidase 4
55356,8.12E-46,6.94E-49,0.171,-14.6950054,-2.513136,137.66,SLC22A15,solute carrier family 22 member 15
10308,1.07E-45,9.71E-49,0.0869,-14.6722145,-1.2749686,237.23,ZNF267,zinc finger protein 267
3687,6.86E-44,6.59E-47,0.2073,-14.3832315,-2.9822576,419.26,ITGAX,integrin subunit alpha X
6603,1.04E-43,1.06E-46,0.0443,14.350619,0.636188,1792.95,SMARCD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
54210,1.08E-43,1.16E-46,0.2409,-14.3442138,-3.4552207,181.13,TREM1,triggering receptor expressed on myeloid cells 1
8665,2.79E-43,3.13E-46,0.0564,14.2751304,0.8050384,1843.47,EIF3F,eukaryotic translation initiation factor 3 subunit F
4320,3.67E-43,4.31E-46,0.2669,-14.2527411,-3.8044671,534.99,MMP11,matrix metallopeptidase 11
2517,4.09E-43,5.03E-46,0.1245,-14.2420241,-1.7735586,448.29,FUCA1,alpha-L-fucosidase 1
3624,6.06E-43,7.77E-46,0.2651,-14.2115788,-3.7673111,826.64,INHBA,inhibin subunit beta A
131578,7.33E-43,9.79E-46,0.2897,-14.1953602,-4.1127994,508.48,LRRC15,leucine rich repeat containing 15
6498,1.93E-42,2.68E-45,0.1189,-14.1245778,-1.6787083,571.71,SKIL,SKI like proto-oncogene
55083,2.15E-42,3.09E-45,0.2301,-14.1144721,-3.2479531,379.84,KIF26B,kinesin family member 26B
597,3.05E-42,4.56E-45,0.1853,-14.0871498,-2.6109913,61.75,BCL2A1,BCL2 related protein A1
89857,1.38E-41,2.14E-44,0.1468,-13.977365,-2.052139,145.45,KLHL6,kelch like family member 6
8840,3.89E-41,6.24E-44,0.1999,-13.9011032,-2.778396,630.58,CCN4,cellular communication network factor 4
23601,6.09E-41,1.01E-43,0.2493,-13.8666814,-3.4572561,204.97,CLEC5A,C-type lectin domain containing 5A
427,7.95E-41,1.36E-43,0.0855,-13.8452941,-1.1844173,2120.6,ASAH1,N-acylsphingosine amidohydrolase 1
117247,1.93E-40,3.40E-43,0.2414,-13.7791027,-3.3258814,157.3,SLC16A10,solute carrier family 16 member 10
115362,2.53E-40,4.59E-43,0.2375,-13.7575523,-3.2671141,67.11,GBP5,guanylate binding protein 5
9788,3.80E-40,7.10E-43,0.175,-13.7259922,-2.4023841,691.34,MTSS1,MTSS I-BAR domain containing 1
1300,7.22E-40,1.39E-42,0.6333,-13.6772911,-8.6621177,681.82,COL10A1,collagen type X alpha 1 chain
6367,8.19E-40,1.62E-42,0.2509,-13.6660787,-3.428842,214.71,CCL22,C-C motif chemokine ligand 22
6556,2.54E-39,5.16E-42,0.2506,-13.5814111,-3.4030116,782.94,SLC11A1,solute carrier family 11 member 1
2710,4.21E-39,8.76E-42,0.1056,-13.542603,-1.4299759,157.03,GK,glycerol kinase
80232,4.98E-39,1.06E-41,0.0652,-13.5282999,-0.8818153,1965.05,WDR26,WD repeat domain 26
29126,1.28E-38,2.81E-41,0.153,-13.4568207,-2.0591057,73.24,CD274,CD274 molecule
11120,1.35E-38,3.02E-41,0.0426,-13.4514446,-0.572425,558.05,BTN2A1,butyrophilin subfamily 2 member A1
25769,1.80E-38,4.13E-41,0.4292,-13.4282195,-5.7636982,63.86,SLC24A2,solute carrier family 24 member 2
26191,5.26E-38,1.24E-40,0.2056,-13.3468524,-2.7444799,56.37,PTPN22,protein tyrosine phosphatase non-receptor type 22
5277,6.86E-38,1.65E-40,0.0999,-13.3253093,-1.330779,182.48,PIGA,phosphatidylinositol glycan anchor biosynthesis class A
55454,1.16E-37,2.84E-40,0.1232,-13.2846615,-1.636099,627.13,CSGALNACT2,chondroitin sulfate N-acetylgalactosaminyltransferase 2
5552,1.25E-37,3.13E-40,0.1292,-13.2774437,-1.7151322,1491.96,SRGN,serglycin
23012,1.50E-37,3.86E-40,0.111,-13.2617513,-1.4717575,514.76,STK38L,serine/threonine kinase 38 like
330,2.76E-37,7.22E-40,0.1839,-13.214672,-2.4304994,636.43,BIRC3,baculoviral IAP repeat containing 3
57552,3.28E-37,8.76E-40,0.1314,-13.2001589,-1.734563,194.16,NCEH1,neutral cholesterol ester hydrolase 1
4170,5.66E-37,1.61E-39,0.0624,-13.1542926,-0.820671,7794,MCL1,"MCL1 apoptosis regulator, BCL2 family member"
7474,5.66E-37,1.63E-39,0.1534,-13.1531305,-2.0174649,563.83,WNT5A,Wnt family member 5A
8483,5.66E-37,1.62E-39,0.3792,-13.1534973,-4.9884516,1399.76,CILP,cartilage intermediate layer protein
23580,5.66E-37,1.55E-39,0.1108,13.156838,1.4579794,1609.24,CDC42EP4,CDC42 effector protein 4
9,6.28E-37,1.84E-39,0.2082,-13.1439133,-2.7362642,277.23,NAT1,N-acetyltransferase 1
4481,6.86E-37,2.05E-39,0.2546,-13.1358499,-3.3448426,728.43,MSR1,macrophage scavenger receptor 1
132864,1.09E-36,3.33E-39,0.1357,-13.0992089,-1.777267,223.25,CPEB2,cytoplasmic polyadenylation element binding protein 2
3685,1.91E-36,5.93E-39,0.1059,-13.0552686,-1.3824717,1410.05,ITGAV,integrin subunit alpha V
105373869,3.21E-36,1.01E-38,0.3487,-13.0144574,-4.5379059,146.78,LINC01614,long intergenic non-protein coding RNA 1614
366,3.48E-36,1.11E-38,0.262,-13.007152,-3.4085238,215.73,AQP9,aquaporin 9
83641,3.79E-36,1.24E-38,0.098,-12.9992555,-1.2738083,671.02,FAM107B,family with sequence similarity 107 member B
5328,4.11E-36,1.36E-38,0.1399,-12.9919024,-1.8170901,1897.11,PLAU,"plasminogen activator, urokinase"
8111,8.16E-36,2.74E-38,0.2356,-12.9380612,-3.0476471,234.35,GPR68,G protein-coupled receptor 68
245972,8.21E-36,2.81E-38,0.4181,-12.9363431,-5.4084599,39.29,ATP6V0D2,ATPase H+ transporting V0 subunit d2
29887,8.81E-36,3.06E-38,0.1587,-12.929757,-2.0521159,166.06,SNX10,sorting nexin 10
3786,1.48E-35,5.20E-38,0.1977,-12.8888706,-2.5487236,112.92,KCNQ3,potassium voltage-gated channel subfamily Q member 3
23312,2.43E-35,8.71E-38,0.1146,-12.8490281,-1.4728717,361.84,DMXL2,Dmx like 2
5724,2.48E-35,9.02E-38,0.1826,-12.8462805,-2.3452916,240.57,PTAFR,platelet activating factor receptor
6124,2.62E-35,9.66E-38,0.0595,12.8410323,0.7640748,15978.14,RPL4,ribosomal protein L4
6869,2.87E-35,1.07E-37,0.3016,12.8327987,3.8703034,57.25,TACR1,tachykinin receptor 1
7903,6.67E-35,2.53E-37,0.1494,-12.7663072,-1.9069266,125.96,ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
23107,8.16E-35,3.14E-37,0.0605,12.7495216,0.7719397,1340.17,MRPS27,mitochondrial ribosomal protein S27
414236,8.54E-35,3.33E-37,0.1456,-12.744853,-1.8557615,223.96,C10orf55,chromosome 10 putative open reading frame 55
2123,9.12E-35,3.61E-37,0.2104,-12.7386639,-2.6802546,138.27,EVI2A,ecotropic viral integration site 2A
55785,1.22E-34,4.91E-37,0.1715,-12.7146101,-2.1809366,309.35,FGD6,"FYVE, RhoGEF and PH domain containing 6"
5008,1.88E-34,7.65E-37,0.2763,-12.6798744,-3.5034157,29.99,OSM,oncostatin M
50628,2.27E-34,9.34E-37,0.0707,12.6641426,0.8952421,618.9,GEMIN4,gem nuclear organelle associated protein 4
9267,2.88E-34,1.20E-36,0.0669,-12.6446135,-0.8462839,707.42,CYTH1,cytohesin 1
57688,2.97E-34,1.25E-36,0.1014,-12.6410411,-1.2814961,265.01,ZSWIM6,zinc finger SWIM-type containing 6
241,3.37E-34,1.44E-36,0.1983,-12.6302646,-2.5048016,361.48,ALOX5AP,arachidonate 5-lipoxygenase activating protein
6529,3.54E-34,1.53E-36,0.2228,-12.6252965,-2.8124124,29.65,SLC6A1,solute carrier family 6 member 1
7042,4.27E-34,1.87E-36,0.3142,-12.6096119,-3.96193,654.99,TGFB2,transforming growth factor beta 2
58475,4.49E-34,1.99E-36,0.1953,-12.6047245,-2.4615907,446.17,MS4A7,membrane spanning 4-domains A7
9220,5.82E-34,2.61E-36,0.0878,12.5832075,1.1053536,315.35,TIAF1,replaced by ID 399687
467,1.85E-33,8.40E-36,0.2007,-12.4905734,-2.5072442,618.92,ATF3,activating transcription factor 3
9518,2.09E-33,9.60E-36,0.2951,-12.4799749,-3.6831804,208.25,GDF15,growth differentiation factor 15
9143,2.21E-33,1.03E-35,0.2541,-12.4747557,-3.1698215,25.13,SYNGR3,synaptogyrin 3
2532,3.71E-33,1.74E-35,0.3448,12.4324453,4.2865935,331.42,ACKR1,atypical chemokine receptor 1 (Duffy blood group)
3397,6.00E-33,2.85E-35,0.1895,12.3930204,2.3486315,878.52,ID1,inhibitor of DNA binding 1
6146,6.26E-33,3.01E-35,0.0479,12.3887519,0.5929763,3967,RPL22,ribosomal protein L22
30001,9.36E-33,4.55E-35,0.1132,-12.3554651,-1.3983564,2260.46,ERO1A,endoplasmic reticulum oxidoreductase 1 alpha
8477,1.02E-32,5.03E-35,0.2074,-12.3474443,-2.5606843,64.95,GPR65,G protein-coupled receptor 65
54938,1.02E-32,5.05E-35,0.0728,12.3470509,0.8988975,304.63,SARS2,"seryl-tRNA synthetase 2, mitochondrial"
10863,1.16E-32,5.83E-35,0.1954,-12.3355659,-2.4101555,81.74,ADAM28,ADAM metallopeptidase domain 28
6137,1.56E-32,7.92E-35,0.0683,12.3108599,0.8413574,9802.95,RPL13,ribosomal protein L13
6470,1.62E-32,8.29E-35,0.1039,12.3071708,1.2792203,545.14,SHMT1,serine hydroxymethyltransferase 1
9943,1.83E-32,9.50E-35,0.0448,-12.2961089,-0.5509964,1102.13,OXSR1,oxidative stress responsive kinase 1
83543,2.54E-32,1.33E-34,0.202,12.2688275,2.4788708,621.52,AIF1L,allograft inflammatory factor 1 like
738,3.23E-32,1.71E-34,0.075,12.2486831,0.9185638,981.45,VPS51,VPS51 subunit of GARP complex
91526,5.93E-32,3.17E-34,0.123,-12.1984772,-1.4999764,92.5,ANKRD44,ankyrin repeat domain 44
28987,8.88E-32,4.79E-34,0.0704,12.1647544,0.8563671,962.87,NOB1,NIN1 (RPN12) binding protein 1 homolog
4322,9.37E-32,5.11E-34,0.5357,-12.1594441,-6.514262,377.7,MMP13,matrix metallopeptidase 13
