ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title
ILMN_1672128,1.26E-09,1.32E-13,-86.692056,20.78269,-6.20333225,584277093,ATF4,activating transcription factor 4
ILMN_1685985,1.26E-09,1.33E-13,86.5549071,20.77475,8.32102405,NA,,
ILMN_1775522,1.26E-09,1.37E-13,-86.2608187,20.75765,-6.89924322,52632378,MAGED1,MAGE family member D1
ILMN_2050112,1.26E-09,1.41E-13,-86.0056129,20.74272,-8.50753341,NA,,
ILMN_2234515,1.26E-09,1.55E-13,-85.0261273,20.68462,-8.62392705,78042614,SLC7A5P2,solute carrier family 7 member 5 pseudogene 2
ILMN_1663195,1.68E-09,2.87E-13,-78.9160386,20.29166,-5.99021524,518830595,MCM7,minichromosome maintenance complex component 7
ILMN_2233279,1.68E-09,2.90E-13,-78.8261985,20.28546,-8.628822,NA,,
ILMN_2373495,1.74E-09,3.58E-13,-76.8641315,20.14682,-6.91130888,20336744,H2AFY,H2A histone family member Y
ILMN_1692249,1.74E-09,3.87E-13,76.1527317,20.09495,7.10339268,NA,,
ILMN_1656682,2.18E-09,6.12E-13,-72.0689162,19.77969,-5.89222718,677283302,AZIN1,antizyme inhibitor 1
ILMN_2090949,2.18E-09,6.86E-13,-71.0759289,19.69824,-8.0162635,NA,,
ILMN_2126802,2.18E-09,7.43E-13,70.4022676,19.64186,6.41424565,76563938,RPS27L,ribosomal protein S27 like
ILMN_1789005,2.18E-09,7.92E-13,-69.8609209,19.59587,-6.58702397,NA,,
ILMN_1769191,2.18E-09,7.96E-13,-69.8253271,19.59283,-7.64878942,834400521,GNAS,GNAS complex locus
ILMN_2081162,2.18E-09,8.07E-13,69.7084332,19.58281,6.11197891,211938420,SH3BGRL,SH3 domain binding glutamate rich protein like
ILMN_2233401,2.21E-09,8.69E-13,69.0845418,19.52885,7.21690011,NA,,
ILMN_2180866,2.51E-09,1.05E-12,-67.5344651,19.39112,-7.64085339,62988277,RPS26P11,ribosomal protein S26 pseudogene 11
ILMN_2278908,3.15E-09,1.44E-12,-65.023121,19.15636,-8.1524363,NA,,
ILMN_1663799,3.15E-09,1.47E-12,-64.836406,19.13831,-8.06214702,55743129,RPL32,ribosomal protein L32
ILMN_2221066,3.40E-09,1.73E-12,63.6107142,19.01764,6.94493687,1022436197,VDAC2,voltage dependent anion channel 2
ILMN_1663415,3.40E-09,1.76E-12,63.4706585,19.00361,6.87093957,NA,,
ILMN_2091846,3.40E-09,1.84E-12,63.1104161,18.96729,6.59151827,NA,,
ILMN_1810474,4.40E-09,2.49E-12,-60.8597934,18.73256,-5.80829245,342307074,UBE2I,ubiquitin conjugating enzyme E2 I
ILMN_1792489,4.49E-09,2.65E-12,-60.4150882,18.68453,-6.40488144,460838701,ARPC2,actin related protein 2/3 complex subunit 2
ILMN_2242491,4.70E-09,2.98E-12,-59.5704336,18.59176,-7.63877689,393715077,CLUAP1,clusterin associated protein 1
ILMN_1702221,4.70E-09,3.20E-12,59.0632209,18.53504,7.18317725,528078337,MCM8,minichromosome maintenance 8 homologous recombination repair factor
ILMN_2235707,4.70E-09,3.29E-12,-58.8709461,18.51334,-8.2642505,296080779,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5
ILMN_1753975,4.70E-09,3.43E-12,58.563603,18.47842,5.21468967,238624144,NPTN,neuroplastin
ILMN_1756130,4.70E-09,3.54E-12,58.3387669,18.4527,7.54785436,NA,,
ILMN_1799856,4.70E-09,3.56E-12,-58.3101754,18.44942,-4.63022817,51944972,NOMO2,NODAL modulator 2
ILMN_1801928,4.70E-09,3.59E-12,-58.2582649,18.44345,-8.03183441,208973235,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
ILMN_1765520,7.03E-09,5.79E-12,-54.990148,18.05058,-4.28180615,53729338,MTIF2,mitochondrial translational initiation factor 2
ILMN_1764721,7.03E-09,5.88E-12,-54.8960545,18.03874,-7.38445705,960513913,RPL8,ribosomal protein L8
ILMN_1748770,7.03E-09,5.88E-12,-54.8873077,18.03764,-5.01113771,345090975,CKAP5,cytoskeleton associated protein 5
ILMN_2220518,7.29E-09,6.43E-12,-54.305436,17.96374,-5.82196898,38788352,LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"
