ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7961604,5.61E-30,1.68E-34,23.3762457,64.9359744,2.52913672,PLCZ1,phospholipase C zeta 1
7972748,3.69E-27,2.22E-31,20.7592019,58.6769913,3.42628969,,
7946321,4.65E-23,4.19E-27,17.5231891,49.8348481,3.09309922,OR5P1P,olfactory receptor family 5 subfamily P member 1 pseudogene
8058765,1.29E-20,1.62E-24,-15.7345415,44.3611122,-3.05260844,FN1,fibronectin 1
7938258,1.29E-20,1.94E-24,15.6822835,44.1945165,2.99012422,,
8109159,2.92E-18,5.26E-22,14.1037195,38.9789233,3.57484422,CARMN///MIR145,cardiac mesoderm enhancer-associated non-coding RNA///microRNA 145
7946326,3.83E-18,8.05E-22,13.9875447,38.5809771,2.93893156,OR5P3,olfactory receptor family 5 subfamily P member 3
7946323,1.81E-17,4.35E-21,13.5305763,36.9968984,2.87981281,OR5P2,olfactory receptor family 5 subfamily P member 2
8046078,1.90E-17,5.13E-21,13.4863762,36.8420944,2.01476844,B3GALT1,"beta-1,3-galactosyltransferase 1"
7943530,2.06E-17,6.20E-21,13.4357619,36.6644834,3.04455891,GRIA4,glutamate ionotropic receptor AMPA type subunit 4
8067111,1.00E-15,3.54E-19,12.3714483,32.8459152,1.48400922,,
7946306,1.00E-15,3.61E-19,12.3666495,32.8283406,2.85138516,OVCH2,ovochymase 2 (gene/pseudogene)
8083409,5.65E-15,2.21E-18,11.901861,31.111377,2.20738984,AADACL2,arylacetamide deacetylase like 2
8063442,6.10E-15,2.56E-18,11.8636418,30.968906,1.99768016,,
7971526,9.00E-15,4.09E-18,11.7449659,30.5252881,1.75629141,HTR2A,5-hydroxytryptamine receptor 2A
8018006,9.00E-15,4.33E-18,11.7307322,30.4719577,2.99735281,ABCA10,ATP binding cassette subfamily A member 10
8121649,3.66E-14,1.87E-17,11.361687,29.0801268,1.62498875,RFX6,regulatory factor X6
8150691,8.35E-14,4.51E-17,11.1413047,28.2407952,1.70107766,EFCAB1,EF-hand calcium binding domain 1
7935613,3.81E-13,2.17E-16,10.7511167,26.7404116,1.58929672,HPSE2,heparanase 2 (inactive)
8109157,2.90E-12,1.74E-15,10.2406147,24.7514498,0.94410687,CARMN///MIR143,cardiac mesoderm enhancer-associated non-coding RNA///microRNA 143
8169015,4.37E-12,2.76E-15,10.1288006,24.3121645,1.17427,TCEAL7,transcription elongation factor A like 7
7921868,5.53E-12,3.66E-15,-10.0602436,24.0422139,-3.27997656,FCGR3A,Fc fragment of IgG receptor IIIa
8173524,6.14E-12,4.24E-15,10.0241555,23.8999306,1.98418953,CITED1,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
7921873,6.22E-12,4.49E-15,-10.0105144,23.846116,-3.14741516,FCGR3B///FCGR3A,Fc fragment of IgG receptor IIIb///Fc fragment of IgG receptor IIIa
7911248,7.94E-12,5.96E-15,9.9415353,23.5737231,1.21597969,OR2L5,olfactory receptor family 2 subfamily L member 5
7938261,8.15E-12,6.37E-15,9.9256743,23.5110269,3.76638312,OR5E1P,olfactory receptor family 5 subfamily E member 1 pseudogene
7954240,8.26E-12,6.70E-15,9.9133953,23.4624735,1.64365125,CAPZA3,capping actin protein of muscle Z-line alpha subunit 3
8044143,9.29E-12,7.81E-15,9.8761194,23.314994,2.06554531,C2orf40,chromosome 2 open reading frame 40
8174654,1.83E-11,1.59E-14,9.7043739,22.6338968,2.57611562,KLHL13,kelch like family member 13
7946330,1.87E-11,1.69E-14,9.6889966,22.5727904,1.46100359,OR10A6,olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)
8171427,1.87E-11,1.74E-14,9.6830234,22.5490482,2.99432563,PIR-FIGF///FIGF,PIR-FIGF readthrough///c-fos induced growth factor
7961602,2.94E-11,2.83E-14,9.5655761,22.0816286,2.20591109,,
8171921,4.22E-11,4.18E-14,9.4713197,21.7057067,2.71679047,DMD,dystrophin
8072577,1.53E-10,1.56E-13,-9.1553164,20.4406499,-1.12241313,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
8169931,1.83E-10,1.92E-13,9.1061569,20.2432493,1.32621562,ARHGAP36,Rho GTPase activating protein 36
8136457,2.59E-10,2.85E-13,9.0117589,19.8637844,2.51411734,,
8144717,2.59E-10,2.88E-13,9.0094873,19.8546462,1.78425687,,
8149448,3.06E-10,3.49E-13,-8.9632867,19.6687353,-2.73880281,MSR1,macrophage scavenger receptor 1
8117187,3.56E-10,4.17E-13,8.9207338,19.4973995,0.95794812,,
8014974,3.91E-10,4.70E-13,-8.8923316,19.3829879,-3.66510984,TOP2A,topoisomerase (DNA) II alpha
8122634,6.60E-10,8.13E-13,8.7618396,18.8568191,1.59267828,SAMD5,sterile alpha motif domain containing 5
8180229,8.87E-10,1.12E-12,8.6857323,18.5495835,2.40484047,,
8103778,1.03E-09,1.34E-12,8.6422853,18.374087,4.16949578,GLRA3,glycine receptor alpha 3
8084739,1.03E-09,1.36E-12,8.6400245,18.364953,1.60741953,FLJ42393,uncharacterized LOC401105
7965565,1.31E-09,1.77E-12,8.5769756,18.1101459,1.11981594,USP44,ubiquitin specific peptidase 44
8030866,1.69E-09,2.33E-12,-8.5110635,17.843621,-3.10290641,FPR3,formyl peptide receptor 3
7982002,2.04E-09,2.88E-12,8.4607064,17.6399033,1.00948687,SNORD116-27,"small nucleolar RNA, C/D box 116-27"
7906720,2.44E-09,3.52E-12,-8.4129469,17.4466282,-2.54899359,FCER1G,Fc fragment of IgE receptor Ig
8168737,2.60E-09,3.83E-12,8.3930445,17.3660693,1.28152531,TNMD,tenomodulin
8089291,2.65E-09,3.98E-12,8.3836752,17.3281416,1.96853312,,
7948894,2.71E-09,4.15E-12,8.3738176,17.2882352,2.22220297,,
7926061,2.84E-09,4.43E-12,8.3581642,17.2248612,2.73421359,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2
8120600,2.96E-09,4.71E-12,8.3440112,17.1675567,1.90556313,,
7955179,3.81E-09,6.18E-12,-8.2791622,16.9049371,-1.69300031,TUBA1C,tubulin alpha 1c
8135486,4.28E-09,7.07E-12,8.2472829,16.7758074,2.80473328,,
8043381,4.74E-09,8.06E-12,8.2162584,16.6501253,1.23614797,SMYD1,SET and MYND domain containing 1
8117995,4.74E-09,8.40E-12,-8.2064273,16.6102959,-1.73927922,TUBB,tubulin beta class I
8177858,4.74E-09,8.40E-12,-8.2064273,16.6102959,-1.73927922,TUBB,tubulin beta class I
8179174,4.74E-09,8.40E-12,-8.2064273,16.6102959,-1.73927922,TUBB,tubulin beta class I
7963046,5.04E-09,9.08E-12,-8.1880436,16.5358139,-1.27712937,TUBA1B,tubulin alpha 1b
7944262,5.47E-09,1.00E-11,8.1645545,16.440642,1.01354219,KMT2A,lysine methyltransferase 2A
8052089,5.93E-09,1.12E-11,8.1383103,16.3342999,1.83456016,,
8170648,5.93E-09,1.12E-11,-8.1376635,16.3316791,-3.31747109,BGN,biglycan
7972217,6.18E-09,1.22E-11,8.1186026,16.2544402,1.92045328,SPRY2,sprouty RTK signaling antagonist 2
7924895,6.18E-09,1.22E-11,8.1183412,16.2533813,1.33593016,,
8005153,6.18E-09,1.22E-11,8.1169575,16.2477742,1.45604828,,
8145736,8.44E-09,1.70E-11,8.0392301,15.9327836,2.45906156,NRG1,neuregulin 1
7954208,1.05E-08,2.15E-11,7.9833352,15.7062608,4.06074016,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
8123303,1.30E-08,2.69E-11,7.9298252,15.4894084,1.26381828,PACRG,PARK2 coregulated
7905047,1.37E-08,2.88E-11,-7.9135043,15.4232696,-2.40099969,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
8095628,1.49E-08,3.17E-11,7.8907674,15.3311339,2.20953297,ALB,albumin
7911260,1.50E-08,3.25E-11,7.8854773,15.3096978,0.85194469,OR2M7///OR2M2///OR2M1P///OR2M3///OR2M5,olfactory receptor family 2 subfamily M member 7///olfactory receptor family 2 subfamily M member 2///olfactory receptor family 2 subfamily M member 1 pseudogene///olfactory receptor family 2 subfamily M member 3///olfactory receptor family 2 subfamily M member 5
8078603,1.57E-08,3.44E-11,7.8715113,15.2531064,1.97339766,,
8112807,1.59E-08,3.53E-11,-7.8657287,15.2296756,-1.75160672,ARSB,arylsulfatase B
8061579,1.60E-08,3.61E-11,-7.8601197,15.2069483,-3.18174781,TPX2,"TPX2, microtubule nucleation factor"
8106528,1.78E-08,4.07E-11,7.8314407,15.0907489,1.91504844,,
8138735,1.88E-08,4.34E-11,7.8166356,15.0307669,1.10176187,HOXA5,homeobox A5
8163255,2.02E-08,4.73E-11,7.7957602,14.9461961,1.71390187,,
8091735,2.02E-08,4.80E-11,-7.7923595,14.9324198,-3.25427953,,
8009474,2.03E-08,4.88E-11,7.7883728,14.9162695,1.31221953,,
8092065,2.52E-08,6.13E-11,7.7343806,14.6975746,1.28999391,,
7914270,2.74E-08,6.76E-11,-7.7112138,14.6037545,-2.27870672,LAPTM5,lysosomal protein transmembrane 5
7911252,2.75E-08,6.85E-11,7.7081332,14.5912799,1.070045,OR2L2,olfactory receptor family 2 subfamily L member 2
7961142,2.83E-08,7.14E-11,-7.697968,14.5501174,-2.92948563,OLR1,oxidized low density lipoprotein receptor 1
7929026,2.99E-08,7.62E-11,7.6825295,14.487606,1.47545437,ACTA2-AS1,ACTA2 antisense RNA 1
7950370,4.31E-08,1.11E-10,7.5922587,14.1222154,1.2387475,,
8145685,5.34E-08,1.40E-10,7.5386737,13.9054321,1.78881453,,
8097116,5.73E-08,1.51E-10,7.5192121,13.8267226,1.34158266,,
8137483,5.79E-08,1.55E-10,7.5141002,13.8060503,1.16769203,FLJ16734,uncharacterized LOC641928
7969472,5.99E-08,1.62E-10,7.5032848,13.7623171,0.789115,LMO7DN,LMO7 downstream neighbor
8155338,6.04E-08,1.67E-10,7.4961208,13.7333508,1.21033172,,
8155369,6.04E-08,1.67E-10,7.4961208,13.7333508,1.21033172,,
8161654,6.44E-08,1.80E-10,7.4781953,13.6608813,0.66091422,TRPM3,transient receptor potential cation channel subfamily M member 3
8082478,6.80E-08,1.92E-10,-7.4627497,13.5984477,-1.46212844,COPG1,coatomer protein complex subunit gamma 1
7915504,6.88E-08,1.96E-10,-7.4575549,13.5774518,-1.62521,ELOVL1,ELOVL fatty acid elongase 1
8095412,7.40E-08,2.13E-10,7.4377458,13.4973986,3.28333844,CSN1S1,casein alpha s1
7916882,7.50E-08,2.18E-10,7.4320907,13.4745483,1.07777484,RPE65,"RPE65, retinoid isomerohydrolase"
7919133,8.06E-08,2.37E-10,-7.412465,13.3952581,-1.96308938,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
8048139,8.79E-08,2.64E-10,-7.3864969,13.2903704,-1.87585406,DNAPTP3,histone demethylase UTY-like
8150101,8.79E-08,2.67E-10,-7.3846241,13.2828071,-1.82850922,,
7925743,8.79E-08,2.69E-10,7.382726,13.2751417,0.73841687,OR2T33///OR2T8///OR2T12,olfactory receptor family 2 subfamily T member 33///olfactory receptor family 2 subfamily T member 8///olfactory receptor family 2 subfamily T member 12
7972661,8.79E-08,2.69E-10,7.3820877,13.272564,2.19378656,,
8163107,9.32E-08,2.88E-10,7.3659745,13.2075003,1.26808125,MIR32,microRNA 32
7909568,1.03E-07,3.21E-10,-7.3400555,13.1028686,-3.20976391,DTL,denticleless E3 ubiquitin protein ligase homolog
7905060,1.04E-07,3.27E-10,-7.3361295,13.087023,-1.93371906,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
7982254,1.06E-07,3.41E-10,7.3258174,13.0454055,1.22002672,,
7987110,1.06E-07,3.41E-10,7.3258174,13.0454055,1.22002672,,
7906757,1.08E-07,3.49E-10,-7.3199812,13.0218547,-2.31736312,FCGR2A,Fc fragment of IgG receptor IIa
8026971,1.22E-07,3.99E-10,-7.2881911,12.8936027,-2.20722891,IFI30,"IFI30, lysosomal thiol reductase"
7982889,1.24E-07,4.10E-10,-7.2818028,12.8678365,-2.93460516,NUSAP1,nucleolar and spindle associated protein 1
8091733,1.56E-07,5.22E-10,7.2241709,12.635496,1.98705266,,
8115327,1.56E-07,5.24E-10,-7.2231324,12.631311,-1.43716781,SPARC,secreted protein acidic and cysteine rich
8063437,1.65E-07,5.60E-10,7.2074853,12.5682654,2.17303328,TSHZ2,teashirt zinc finger homeobox 2
7946676,1.65E-07,5.69E-10,7.2034449,12.5519882,0.93068766,,
8131494,1.65E-07,5.72E-10,7.2023634,12.5476316,1.37605766,,
8138718,1.65E-07,5.74E-10,7.2014074,12.5437806,1.22248359,HOXA2,homeobox A2
7911243,1.65E-07,5.80E-10,7.1988979,12.5336718,1.03905016,OR2AK2,olfactory receptor family 2 subfamily AK member 2
8025918,1.78E-07,6.35E-10,7.1773443,12.4468643,1.11003344,CNN1,calponin 1
7986385,1.78E-07,6.37E-10,7.1767895,12.4446305,2.59920641,SYNM,synemin
8093500,1.92E-07,6.92E-10,-7.1569113,12.3645983,-1.53553828,TACC3,transforming acidic coiled-coil containing protein 3
8091757,1.96E-07,7.13E-10,-7.1498041,12.3359903,-1.83612437,TRIM59,tripartite motif containing 59
8057613,1.97E-07,7.21E-10,7.1471286,12.3252216,1.00812328,,
8107706,2.07E-07,7.65E-10,-7.1328793,12.267878,-2.07467984,LMNB1,lamin B1
8012830,2.07E-07,7.70E-10,7.1312661,12.261387,0.88477469,TMEM220,transmembrane protein 220
8146863,2.16E-07,8.11E-10,-7.1189153,12.2116961,-2.54539438,SULF1,sulfatase 1
8068126,2.25E-07,8.59E-10,7.105132,12.1562544,1.4084825,GRIK1-AS1,GRIK1 antisense RNA 1
