Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2016,Tyrosine metabolism Homo sapiens hsa00350,3/35,0.0005541289748420608,0.0698202508300996,0,0,20.93679775280899,156.9864773294103,IL4I1;ALDH3A1;TPO
KEGG_2016,Cell cycle Homo sapiens hsa04110,4/124,0.0025830680463418,0.0887051838578037,0,0,7.495454545454545,44.66374530781103,CCNE2;CDKN2A;CDC7;CDC25A
KEGG_2016,Phenylalanine metabolism Homo sapiens hsa00360,2/17,0.0027214123810134,0.0887051838578037,0,0,29.47111111111111,174.07419089900034,IL4I1;ALDH3A1
KEGG_2016,Axon guidance Homo sapiens hsa04360,4/127,0.0028160375827874,0.0887051838578037,0,0,7.311529933481153,42.9364074744862,UNC5B;CFL2;CFL1;PAK3
KEGG_2016,PI3K-Akt signaling pathway Homo sapiens hsa04151,6/341,0.0049082385987407,0.1236876126882665,0,0,4.076292953835474,21.672997995539276,COMP;TNXB;CCNE2;PPP2R2C;KDR;CREB5
KEGG_2016,Hematopoietic cell lineage Homo sapiens hsa04640,3/88,0.0077972893484203,0.1637430763168266,0,0,7.861070720423001,38.15747317801551,MME;IL11RA;CD5
KEGG_2016,MicroRNAs in cancer Homo sapiens hsa05206,5/297,0.0120232119403975,0.2164178149271559,0,0,3.860809321366714,17.06831435515085,TNXB;CCNE2;CDKN2A;SPRY2;CDC25A
KEGG_2016,Focal adhesion Homo sapiens hsa04510,4/202,0.0141529393672225,0.222908795033755,0,0,4.524793388429752,19.26581436913192,COMP;TNXB;KDR;PAK3
KEGG_2016,"Phenylalanine, tyrosine and tryptophan biosynthesis Homo sapiens hsa00400",1/5,0.0227914675292109,0.319080545408953,0,0,54.68131868131868,206.77024575968773,IL4I1
KEGG_2016,Cytokine-cytokine receptor interaction Homo sapiens hsa04060,4/265,0.0340200600316246,0.41073044232509,0,0,3.4216300940438877,11.567863881745144,IL11RA;KDR;CCL28;TNFRSF10D
KEGG_2016,p53 signaling pathway Homo sapiens hsa04115,2/69,0.0402420188871535,0.41073044232509,0,0,6.580762852404644,21.14296170354921,CCNE2;CDKN2A
KEGG_2016,cGMP-PKG signaling pathway Homo sapiens hsa04022,3/167,0.0418639921633336,0.41073044232509,0,0,4.058098109070978,12.87768121423434,NPR1;ADRA2B;CREB5
KEGG_2016,Thyroid hormone synthesis Homo sapiens hsa04918,2/71,0.0423769503986204,0.41073044232509,0,0,6.389371980676328,20.1977676277128,TPO;CREB5
KEGG_2016,Pertussis Homo sapiens hsa05133,2/75,0.0467708228297801,0.4125026775676609,0,0,6.038051750380517,18.491507608192848,CFL2;CFL1
KEGG_2016,Aldosterone synthesis and secretion Homo sapiens hsa04925,2/81,0.0536579617766643,0.4125026775676609,0,0,5.5777777777777775,16.31569955786868,NPR1;CREB5
KEGG_2016,ECM-receptor interaction Homo sapiens hsa04512,2/82,0.0548389594885617,0.4125026775676609,0,0,5.507777777777778,15.991030834613523,COMP;TNXB
KEGG_2016,Prostate cancer Homo sapiens hsa05215,2/89,0.0633569713592809,0.4125026775676609,0,0,5.062835249042146,13.968212253656654,CCNE2;CREB5
KEGG_2016,Protein digestion and absorption Homo sapiens hsa04974,2/90,0.0646084309960867,0.4125026775676609,0,0,5.005050505050505,13.71088723555873,MME;COL10A1
KEGG_2016,Glycosaminoglycan biosynthesis - keratan sulfate Homo sapiens hsa00533,1/15,0.0668442628656717,0.4125026775676609,0,0,15.615384615384617,42.24570226347746,B4GALT3
KEGG_2016,Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,2/93,0.0684124503401114,0.4125026775676609,0,0,4.839316239316239,12.980016187050536,CFL2;CFL1
KEGG_2016,Viral carcinogenesis Homo sapiens hsa05203,3/205,0.0687504462612768,0.4125026775676609,0,0,3.288352430748693,8.803814057942162,CCNE2;CDKN2A;CREB5
KEGG_2016,Nitrogen metabolism Homo sapiens hsa00910,1/17,0.0754161609714499,0.4142410746578703,0,0,13.662087912087912,35.31285890817634,CA4
KEGG_2016,Regulation of actin cytoskeleton Homo sapiens hsa04810,3/214,0.0760341175168262,0.4142410746578703,0,0,3.146653176420469,8.107582007220016,CFL2;CFL1;PAK3
KEGG_2016,Glucagon signaling pathway Homo sapiens hsa04922,2/101,0.0789030618395943,0.4142410746578703,0,0,4.446464646464647,11.291953686667524,PYGM;CREB5
KEGG_2016,Insulin resistance Homo sapiens hsa04931,2/109,0.0898589714581857,0.4270850638685576,0,0,4.112357217030114,9.908781553185944,PYGM;CREB5
KEGG_2016,Protein export Homo sapiens hsa03060,1/23,0.1006672981685322,0.4270850638685576,0,0,9.933066933066932,22.80566884833423,SRP54
KEGG_2016,Proximal tubule bicarbonate reclamation Homo sapiens hsa04964,1/23,0.1006672981685322,0.4270850638685576,0,0,9.933066933066932,22.80566884833423,CA4
KEGG_2016,Renin-angiotensin system Homo sapiens hsa04614,1/23,0.1006672981685322,0.4270850638685576,0,0,9.933066933066932,22.80566884833423,MME
