ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
211565_at,1.69E-99,5.67E-104,55.044006,223.46404,6.3568229,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3"
243689_s_at,3.15E-79,2.11E-83,39.730526,178.48529,6.0985732,FRG1BP,"FSHD region gene 1 family member B, pseudogene"
1562755_at,2.52E-75,2.53E-79,37.169123,169.40737,5.6220849,,
1561754_at,1.61E-70,2.15E-74,34.25156,158.38603,5.8245089,,
224012_at,5.90E-68,9.87E-72,32.751449,152.41314,4.9509927,ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1,ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1
233103_at,2.15E-64,4.33E-68,30.779132,144.21981,2.0878779,,
238062_at,1.93E-60,4.53E-64,28.702471,135.14857,4.5242835,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
213715_s_at,2.64E-59,7.08E-63,28.105314,132.4514,2.8568094,KANK3,KN motif and ankyrin repeat domains 3
1562527_at,4.97E-59,1.50E-62,27.943722,131.71453,5.3328275,LOC441666,zinc finger protein 91 pseudogene
229839_at,1.37E-57,4.58E-61,27.215108,128.3544,7.0316885,SCARA5,scavenger receptor class A member 5
240988_x_at,2.51E-54,9.24E-58,25.637845,120.86478,2.8840784,,
206209_s_at,3.53E-54,1.42E-57,25.551014,120.44371,4.5163905,CA4,carbonic anhydrase 4
220725_x_at,3.87E-54,1.69E-57,25.51596,120.27346,3.0173721,DNAH3,dynein axonemal heavy chain 3
232538_at,6.07E-53,2.84E-56,24.946894,117.48842,5.4083294,,
1552509_a_at,2.04E-52,1.03E-55,24.69131,116.22448,5.7267153,CD300LG,CD300 molecule like family member g
239963_at,2.33E-51,1.25E-54,24.197364,113.75857,3.0574886,,
231031_at,2.42E-51,1.38E-54,24.177855,113.66054,2.735875,FGF7P3,fibroblast growth factor 7 pseudogene 3
1569609_at,1.24E-50,7.50E-54,23.846884,111.9902,3.7264572,,
235849_at,1.42E-50,9.06E-54,23.810043,111.80342,6.2851789,SCARA5,scavenger receptor class A member 5
206742_at,5.78E-50,3.87E-53,23.528554,110.37053,5.1815076,PIR-FIGF///FIGF,PIR-FIGF readthrough///c-fos induced growth factor
1570255_s_at,7.97E-50,5.60E-53,23.457192,110.00567,4.2583066,ANKRD20A12P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1,"ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1"
239523_at,1.40E-49,1.03E-52,23.338941,109.39962,4.8096579,TUSC5,tumor suppressor candidate 5
1556206_at,5.68E-49,4.37E-52,23.062564,107.97621,4.0704377,LINC00408,long intergenic non-protein coding RNA 408
205507_at,6.45E-49,5.18E-52,23.030061,107.80817,2.4192291,ARHGEF15,Rho guanine nucleotide exchange factor 15
242731_x_at,8.19E-49,6.86E-52,22.976697,107.53198,1.3270523,BMPR1A,bone morphogenetic protein receptor type 1A
213706_at,1.36E-48,1.18E-51,22.872749,106.99293,5.7675565,GPD1,glycerol-3-phosphate dehydrogenase 1
205208_at,1.63E-48,1.47E-51,22.830847,106.77525,2.1652869,ALDH1L1,aldehyde dehydrogenase 1 family member L1
218872_at,1.27E-46,1.19E-49,22.00419,102.43437,3.7342681,TESC,tescalcin
236359_at,2.13E-46,2.07E-49,21.901499,101.88895,4.8185378,SCN4B,sodium voltage-gated channel beta subunit 4
216153_x_at,8.92E-46,8.95E-49,21.63009,100.44087,2.7107472,RECK,reversion inducing cysteine rich protein with kazal motifs
1566145_s_at,1.04E-45,1.08E-48,21.596156,100.25915,2.0572299,LOC101930100///LOC101928669///LOC644450,uncharacterized LOC101930100///uncharacterized LOC101928669///uncharacterized LOC644450
211673_s_at,1.20E-44,1.29E-47,21.139789,97.80071,2.7954154,MOCS1,molybdenum cofactor synthesis 1
230922_x_at,1.20E-44,1.32E-47,21.135263,97.77619,2.295483,FUNDC2,FUN14 domain containing 2
205384_at,1.75E-42,1.99E-45,20.229585,92.81708,4.5512498,FXYD1,FXYD domain containing ion transport regulator 1
203296_s_at,3.15E-42,3.69E-45,20.119057,92.20464,5.0121863,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
1553243_at,3.85E-42,4.63E-45,20.078271,91.97826,3.6353723,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5
206323_x_at,4.51E-42,5.59E-45,20.044852,91.7926,3.0137899,OPHN1,oligophrenin 1
224159_x_at,8.83E-42,1.12E-44,19.920696,91.10161,3.6582401,TRIM4,tripartite motif containing 4
220232_at,1.09E-41,1.42E-44,19.878721,90.86756,4.4559966,SCD5,stearoyl-CoA desaturase 5
207092_at,1.98E-41,2.65E-44,19.768164,90.25001,6.9515043,LEP,leptin
241632_x_at,2.20E-41,3.02E-44,19.745453,90.12296,1.8407305,,
213486_at,4.30E-41,6.04E-44,19.622681,89.43501,4.2834134,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding)
238701_x_at,4.92E-41,7.09E-44,19.594534,89.27701,2.9132684,COLCA1,colorectal cancer associated 1
228618_at,9.37E-41,1.38E-43,19.477117,88.61687,3.5030639,PEAR1,platelet endothelial aggregation receptor 1
244655_at,1.08E-40,1.63E-43,19.448209,88.45407,3.8057295,LOC100507311,uncharacterized LOC100507311
1560144_at,1.81E-40,2.78E-43,19.353762,87.92146,5.2528515,,
1563182_at,2.26E-40,3.56E-43,19.310511,87.67718,2.9086581,ACVR1C,activin A receptor type 1C
206093_x_at,2.85E-40,4.57E-43,19.266829,87.43023,7.0235466,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
208622_s_at,5.33E-40,8.74E-43,-19.153526,86.78857,-5.5670856,EZR,ezrin
206208_at,5.59E-40,9.36E-43,19.141534,86.72056,2.6718456,CA4,carbonic anhydrase 4
