ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
19472,5.59E-16,1.24E-20,-15.470707,36.459773,-4.8054067,ANLN,anillin actin binding protein
8710,2.45E-15,1.09E-19,-14.67147,34.383587,-5.2130164,TPX2,"TPX2, microtubule nucleation factor"
8432,4.75E-15,3.17E-19,-14.288482,33.359597,-5.1395765,NEK2,NIMA related kinase 2
34008,2.19E-14,2.72E-18,-13.535702,31.290502,-4.9002591,BIRC5,baculoviral IAP repeat containing 5
18972,2.19E-14,2.87E-18,-13.516374,31.23638,-4.7366804,KIF20A,kinesin family member 20A
27754,2.19E-14,3.17E-18,-13.482917,31.142573,-4.560716,TTK,TTK protein kinase
36067,2.19E-14,3.56E-18,-13.442933,31.030268,-4.8580022,BIRC5,baculoviral IAP repeat containing 5
11421,2.19E-14,5.36E-18,-13.302597,30.634388,-4.7025747,KIF20A,kinesin family member 20A
12189,2.19E-14,5.43E-18,-13.298356,30.622383,-4.9379187,BIRC5,baculoviral IAP repeat containing 5
29056,2.19E-14,5.64E-18,-13.285737,30.586646,-4.989269,BIRC5,baculoviral IAP repeat containing 5
15797,2.19E-14,6.36E-18,-13.244734,30.470382,-5.0871673,BIRC5,baculoviral IAP repeat containing 5
21415,2.19E-14,6.78E-18,-13.222762,30.407988,-4.829653,KIF20A,kinesin family member 20A
25240,2.19E-14,6.78E-18,-13.222653,30.407677,-3.2103219,HIST1H2AG,"histone cluster 1, H2ag"
10389,2.19E-14,6.80E-18,-13.222012,30.405856,-4.938651,BIRC5,baculoviral IAP repeat containing 5
19951,2.95E-14,9.84E-18,-13.096521,30.048218,-4.8221317,KIF20A,kinesin family member 20A
33234,2.96E-14,1.05E-17,-13.073095,29.981218,-4.9440526,BIRC5,baculoviral IAP repeat containing 5
12667,2.96E-14,1.12E-17,-13.052745,29.922954,-4.4610142,KIF20A,kinesin family member 20A
32847,2.96E-14,1.18E-17,-13.033852,29.868813,-5.2037942,FAM111B,family with sequence similarity 111 member B
30653,2.99E-14,1.26E-17,-13.012002,29.806137,-4.9942164,BIRC5,baculoviral IAP repeat containing 5
21277,3.03E-14,1.39E-17,-12.979754,29.713513,-4.9568941,BIRC5,baculoviral IAP repeat containing 5
28938,3.03E-14,1.43E-17,-12.970227,29.686123,-4.9960796,BIRC5,baculoviral IAP repeat containing 5
10448,3.03E-14,1.48E-17,-12.958311,29.651846,-4.7285939,DEPDC1,DEP domain containing 1
35183,4.98E-14,2.62E-17,-12.767252,29.099615,-4.4708531,CENPU,centromere protein U
35495,4.98E-14,2.66E-17,-12.763334,29.088236,-4.6589402,ASPM,abnormal spindle microtubule assembly
43277,6.08E-14,3.48E-17,-12.673513,28.826843,-4.4179955,UHRF1,ubiquitin like with PHD and ring finger domains 1
43207,6.08E-14,3.58E-17,-12.664116,28.799433,-2.9798502,HIST1H2AJ,"histone cluster 1, H2aj"
20071,6.08E-14,3.65E-17,-12.657554,28.780283,-2.1019979,TUBA1C,tubulin alpha 1c
16755,6.18E-14,3.85E-17,-12.640053,28.729186,-5.1224081,CENPA,centromere protein A
13115,6.79E-14,4.38E-17,-12.59728,28.604123,-4.4688298,KIF20A,kinesin family member 20A
36707,1.30E-13,8.71E-17,-12.370631,27.937238,-4.454644,KIF20A,kinesin family member 20A
36151,1.30E-13,8.93E-17,-12.362471,27.913096,-4.2946485,KIF20A,kinesin family member 20A
39736,1.47E-13,1.05E-16,-12.310364,27.75872,-4.2226896,MELK,maternal embryonic leucine zipper kinase
7726,1.51E-13,1.11E-16,-12.2923,27.705116,-2.4234851,HIST1H2BE,"histone cluster 1, H2be"
2867,1.65E-13,1.24E-16,-12.254004,27.591323,-4.2137808,KIF20A,kinesin family member 20A
9650,1.69E-13,1.31E-16,-12.236868,27.540339,-3.0404053,HIST1H3B,"histone cluster 1, H3b"
8463,2.95E-13,2.36E-16,-12.04616,26.970213,-3.525796,E2F1,E2F transcription factor 1
37220,5.35E-13,4.39E-16,-11.84593,26.366234,-2.4811444,HIST3H2BB,"histone cluster 3, H2bb"
4913,6.07E-13,5.13E-16,-11.796531,26.216377,-3.4882233,CKS2,CDC28 protein kinase regulatory subunit 2
21855,7.09E-13,6.14E-16,-11.738978,26.041361,-4.3941204,RRM2,ribonucleotide reductase regulatory subunit M2
2597,7.31E-13,6.50E-16,-11.72074,25.985805,-4.3550947,CDKN3,cyclin dependent kinase inhibitor 3
40843,8.41E-13,7.66E-16,-11.668328,25.825897,-4.6757319,RAD54L,RAD54-like (S. cerevisiae)
41971,9.13E-13,8.51E-16,-11.63475,25.723251,-3.953026,ECT2,epithelial cell transforming 2
34737,1.00E-12,9.56E-16,-11.597932,25.610524,-2.443353,HIST1H2BN,"histone cluster 1, H2bn"
11216,1.01E-12,9.86E-16,-11.588292,25.580978,-2.2383674,H2AFZ,H2A histone family member Z
43582,1.01E-12,1.02E-15,-11.578918,25.552235,-3.9859063,CDK1,cyclin dependent kinase 1
16701,1.01E-12,1.04E-15,-11.572419,25.5323,-3.6402251,,
22539,1.14E-12,1.19E-15,-11.528782,25.398302,-5.3799414,,
40958,1.27E-12,1.37E-15,-11.483011,25.257472,-4.0613555,CDK1,cyclin dependent kinase 1
34385,1.27E-12,1.38E-15,-11.480786,25.250618,-3.8217941,E2F1,E2F transcription factor 1
10068,1.44E-12,1.60E-15,-11.434183,25.106919,-4.4254368,SPC24,"SPC24, NDC80 kinetochore complex component"
11133,1.55E-12,1.76E-15,-11.40503,25.016876,-2.3962909,HIST2H2BE,"histone cluster 2, H2be"
42055,1.56E-12,1.80E-15,-11.398325,24.996152,-4.1879806,HMMR-AS1,HMMR antisense RNA 1
29071,1.70E-12,2.00E-15,-11.364731,24.892217,-4.36094,CDCA5,cell division cycle associated 5
4502,1.73E-12,2.07E-15,-11.353496,24.857422,-3.6509394,CDK1,cyclin dependent kinase 1
9493,1.73E-12,2.12E-15,-11.347091,24.837579,-3.6270492,E2F1,E2F transcription factor 1
34950,1.86E-12,2.31E-15,-11.319726,24.752736,-4.6141365,KIF23,kinesin family member 23
38808,1.91E-12,2.42E-15,-11.304628,24.705882,-4.0505522,HIST1H3B,"histone cluster 1, H3b"
24763,1.95E-12,2.52E-15,-11.292726,24.668926,-3.6740045,E2F1,E2F transcription factor 1
7966,1.96E-12,2.57E-15,-11.286192,24.64863,-4.5036281,DTL,denticleless E3 ubiquitin protein ligase homolog
44240,2.06E-12,2.75E-15,-11.265354,24.583861,-3.3132072,HN1,hematological and neurological expressed 1
32029,2.07E-12,2.81E-15,-11.25837,24.562138,-3.5922458,CCNE1,cyclin E1
24624,2.13E-12,2.93E-15,-11.244585,24.519247,-4.1041163,BUB1,BUB1 mitotic checkpoint serine/threonine kinase
11772,2.14E-12,3.00E-15,-11.23807,24.498965,-5.1946601,CDC45,cell division cycle 45
40585,2.30E-12,3.27E-15,-11.210707,24.413725,-2.3260064,HIST1H2BE,"histone cluster 1, H2be"
32202,2.79E-12,4.02E-15,-11.146066,24.211952,-4.2581797,NUSAP1,nucleolar and spindle associated protein 1
16508,2.96E-12,4.39E-15,-11.118917,24.127036,-3.8489859,,
38749,2.96E-12,4.41E-15,-11.117149,24.121505,-2.0981595,TUBA1C,tubulin alpha 1c
2756,2.97E-12,4.48E-15,-11.112453,24.106805,-3.7624411,HJURP,Holliday junction recognition protein
10000,3.11E-12,4.76E-15,-11.093491,24.047422,-2.4211049,HIST2H2BD,"histone cluster 2, H2bd (pseudogene)"
1145,3.37E-12,5.24E-15,-11.063445,23.953229,-4.3844193,DTL,denticleless E3 ubiquitin protein ligase homolog
29806,3.45E-12,5.59E-15,-11.043736,23.891377,-2.8060921,HIST1H2BG,"histone cluster 1, H2bg"
24349,3.45E-12,5.59E-15,-11.043527,23.890719,-3.6166691,EXO1,exonuclease 1
3898,3.45E-12,5.60E-15,-11.043124,23.889456,-3.317672,,
4782,3.50E-12,5.75E-15,-11.035097,23.864249,-4.1876223,KIF18A,kinesin family member 18A
972,3.51E-12,5.86E-15,-11.02921,23.845756,-4.6055636,SPC25,"SPC25, NDC80 kinetochore complex component"
6646,3.70E-12,6.33E-15,-11.005086,23.769929,-4.0231858,CDK1,cyclin dependent kinase 1
26042,3.70E-12,6.33E-15,-11.005026,23.769738,-4.5242621,PTTG1,pituitary tumor-transforming 1
4445,4.06E-12,7.03E-15,-10.972545,23.66752,-2.517204,HIST1H2BI,"histone cluster 1, H2bi"
37697,4.10E-12,7.20E-15,-10.965361,23.644893,-2.3910825,HIST1H2BD,"histone cluster 1, H2bd"
13789,4.12E-12,7.32E-15,-10.960071,23.628227,-4.2711624,PRC1,protein regulator of cytokinesis 1
24761,4.13E-12,7.46E-15,-10.954433,23.61046,-4.0286682,CDK1,cyclin dependent kinase 1
6890,4.13E-12,7.53E-15,-10.951365,23.600791,-4.6074391,CENPF,centromere protein F
41530,4.61E-12,8.50E-15,-10.91373,23.482067,-3.3162488,HMGB3,high mobility group box 3
30232,4.73E-12,8.82E-15,-10.902466,23.446498,-5.6208437,,
12479,4.88E-12,9.31E-15,-10.885867,23.39405,-3.6611606,EXO1,exonuclease 1
32524,4.88E-12,9.32E-15,-10.885502,23.392896,-4.4410398,KIAA0101,KIAA0101
42676,4.92E-12,9.51E-15,-10.87929,23.373258,-3.9307271,KIF20A,kinesin family member 20A
13412,5.01E-12,9.80E-15,-10.870071,23.344103,-4.0668119,KNL1,kinetochore scaffold 1
16927,5.06E-12,9.99E-15,-10.863905,23.324597,-2.3118079,HIST1H2BJ,"histone cluster 1, H2bj"
21075,5.11E-12,1.02E-14,-10.857394,23.303995,-5.8074278,TOP2A,topoisomerase (DNA) II alpha
26132,5.20E-12,1.05E-14,-10.848121,23.274646,-2.3572847,HIST1H2BL,"histone cluster 1, H2bl"
20390,5.33E-12,1.10E-14,-10.833498,23.228335,-3.3300862,KIF2C,kinesin family member 2C
43677,5.33E-12,1.11E-14,-10.830858,23.219973,-2.314207,HIST1H2AM,"histone cluster 1, H2am"
40660,5.33E-12,1.11E-14,-10.830697,23.219462,-2.5052496,HIST1H2BB,"histone cluster 1, H2bb"
23428,5.39E-12,1.14E-14,-10.824037,23.198357,-4.8316707,KIF18B,kinesin family member 18B
30196,5.85E-12,1.26E-14,-10.79257,23.09857,-3.6698873,CDK1,cyclin dependent kinase 1
24063,5.85E-12,1.26E-14,-10.792514,23.098393,-3.4912966,E2F1,E2F transcription factor 1
15822,5.86E-12,1.28E-14,-10.788554,23.085827,-4.5046254,DTL,denticleless E3 ubiquitin protein ligase homolog
3194,6.47E-12,1.42E-14,-10.75547,22.980751,-2.8645032,MRPL47,mitochondrial ribosomal protein L47
