Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2016,Transcriptional misregulation in cancer Homo sapiens hsa05202,6/180,0.0001837025784424496,0.02700427903104,0,0,7.912590216519647,68.06562445098396,ETV7;PLAU;PDGFA;ETV1;PLAT;TGFBR2
KEGG_2016,Malaria Homo sapiens hsa05144,3/49,0.0014890364002572,0.1094441754189071,0,0,14.55446995603322,94.74415719864822,COMP;IL18;HBB
KEGG_2016,PI3K-Akt signaling pathway Homo sapiens hsa04151,6/341,0.0049082385987407,0.1382327832179164,0,0,4.076292953835474,21.672997995539276,COMP;GYS1;CCNE2;PPP2R2C;SPP1;PDGFA
KEGG_2016,Dorso-ventral axis formation Homo sapiens hsa04320,2/27,0.0068171341172843,0.1382327832179164,0,0,17.67377777777778,88.16239046381622,ETV7;CPEB3
KEGG_2016,Butanoate metabolism Homo sapiens hsa00650,2/28,0.0073196930223177,0.1382327832179164,0,0,16.993162393162393,83.55855531771991,ABAT;HMGCS2
KEGG_2016,Salivary secretion Homo sapiens hsa04970,3/89,0.0080427934367174,0.1382327832179164,0,0,7.76927096942775,37.47102928389194,CST2;CST1;ATP1A2
KEGG_2016,Prostate cancer Homo sapiens hsa05215,3/89,0.0080427934367174,0.1382327832179164,0,0,7.76927096942775,37.47102928389194,CCNE2;TGFA;PDGFA
KEGG_2016,Protein digestion and absorption Homo sapiens hsa04974,3/90,0.0082928187220727,0.1382327832179164,0,0,7.679581557535839,36.80336058111635,MME;COL10A1;ATP1A2
KEGG_2016,beta-Alanine metabolism Homo sapiens hsa00410,2/31,0.0089243322904424,0.1382327832179164,0,0,15.23295019157088,71.88389235582319,AOC3;ABAT
KEGG_2016,Pancreatic secretion Homo sapiens hsa04972,3/96,0.0098888961645971,0.1382327832179164,0,0,7.181949981877492,33.154342735740734,ATP1A2;CEL;SLC26A3
KEGG_2016,African trypanosomiasis Homo sapiens hsa05143,2/35,0.0112843088341156,0.1382327832179164,0,0,13.383838383838384,60.01771015191958,IL18;HBB
KEGG_2016,"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",2/35,0.0112843088341156,0.1382327832179164,0,0,13.383838383838384,60.01771015191958,ABAT;NAT8L
KEGG_2016,Fat digestion and absorption Homo sapiens hsa04975,2/41,0.0152770043834475,0.1727476649512916,0,0,11.321367521367522,47.33924045221591,DGAT2;CEL
KEGG_2016,Carbohydrate digestion and absorption Homo sapiens hsa04973,2/45,0.0182269017855482,0.1784206966119553,0,0,10.266149870801032,41.11445864319842,HK3;ATP1A2
KEGG_2016,Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,2/47,0.0197848490499347,0.1784206966119553,0,0,9.80888888888889,38.478690248727474,DNM3;ATP1A2
KEGG_2016,"Valine, leucine and isoleucine degradation Homo sapiens hsa00280",2/48,0.0205840830919641,0.1784206966119553,0,0,9.595169082125604,37.26031720609431,ABAT;HMGCS2
KEGG_2016,N-Glycan biosynthesis Homo sapiens hsa00510,2/49,0.0213966402826562,0.1784206966119553,0,0,9.390543735224586,36.10214602295439,B4GALT3;ALG1
KEGG_2016,Butirosin and neomycin biosynthesis Homo sapiens hsa00524,1/5,0.0227914675292109,0.1784206966119553,0,0,54.68131868131868,206.77024575968773,HK3
KEGG_2016,Mineral absorption Homo sapiens hsa04978,2/51,0.023061178473654,0.1784206966119553,0,0,9.006349206349206,33.95037594485351,ATP1A2;SLC26A3
KEGG_2016,Tight junction Homo sapiens hsa04530,3/139,0.0263386411201868,0.1817951035162016,0,0,4.900528750826173,17.82184197018194,CSNK2A1;PPP2R2C;MYH11
KEGG_2016,Metabolic pathways Homo sapiens hsa01100,11/1239,0.0266562212715148,0.1817951035162016,0,0,2.065790002814976,7.487936599387889,AOC3;B4GALT3;HK3;DGAT2;SPHK1;EPT1;ABAT;HMGCS2;CEL;ALG1;NAT8L
KEGG_2016,Starch and sucrose metabolism Homo sapiens hsa00500,2/56,0.0274462295780891,0.1817951035162016,0,0,8.170370370370371,29.376782989071387,HK3;GYS1
KEGG_2016,Phospholipase D signaling pathway Homo sapiens hsa04072,3/144,0.0288339290746897,0.1817951035162016,0,0,4.72555582118097,16.757777830933524,DNM3;SPHK1;PDGFA
KEGG_2016,Glycerolipid metabolism Homo sapiens hsa00561,2/59,0.0302253894071925,0.1817951035162016,0,0,7.739181286549708,27.07996027375773,DGAT2;CEL
KEGG_2016,Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,3/148,0.0309175346115989,0.1817951035162016,0,0,4.594265788454088,15.971651651859425,PPP2R2C;ATP1A2;SCN4B
KEGG_2016,Glioma Homo sapiens hsa05214,2/65,0.0361008619643773,0.2020964964339333,0,0,7.0,23.25006975759153,TGFA;PDGFA
KEGG_2016,Pancreatic cancer Homo sapiens hsa05212,2/66,0.0371197646511306,0.2020964964339333,0,0,6.8902777777777775,22.69385824134354,TGFA;TGFBR2
KEGG_2016,PPAR signaling pathway Homo sapiens hsa03320,2/69,0.0402420188871535,0.2097374978815033,0,0,6.580762852404644,21.14296170354921,FABP7;HMGCS2
KEGG_2016,Bile secretion Homo sapiens hsa04976,2/71,0.0423769503986204,0.2097374978815033,0,0,6.389371980676328,20.1977676277128,SLCO1A2;ATP1A2
KEGG_2016,Prolactin signaling pathway Homo sapiens hsa04917,2/72,0.0434600912597315,0.2097374978815033,0,0,6.297777777777778,19.74927819330452,ELF5;CSN2
