GeneID,adj.P.Val,pvalue,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
1410,1.96E-30,9.50E-35,0.246,12.296159,3.0245814,2765.97,CRYAB,crystallin alpha B
4320,3.16E-26,3.07E-30,0.5655,-11.426885,-6.462327,14313.97,MMP11,matrix metallopeptidase 11
1300,2.82E-17,4.11E-21,0.7201,-9.429686,-6.7907507,4441.05,COL10A1,collagen type X alpha 1 chain
84957,4.87E-17,9.45E-21,0.213,-9.342047,-1.9897562,347.93,RELT,RELT TNF receptor
83987,7.31E-17,1.78E-20,0.2165,9.275033,2.0081298,1533.93,CCDC8,coiled-coil domain containing 8
5307,1.37E-16,3.98E-20,0.5984,-9.188466,-5.4980918,925.47,PITX1,paired like homeodomain 1
256691,1.84E-16,6.24E-20,0.2407,9.140135,2.2004788,1336.73,MAMDC2,MAM domain containing 2
1301,7.70E-16,2.99E-19,0.7725,-8.968986,-6.9285762,6422.2,COL11A1,collagen type XI alpha 1 chain
4312,6.16E-15,2.99E-18,0.9184,-8.711813,-8.0005831,301.07,MMP1,matrix metallopeptidase 1
1264,6.16E-15,2.72E-18,0.2968,8.722354,2.5889976,3206.87,CNN1,calponin 1
94274,8.04E-15,4.29E-18,0.2532,8.670732,2.1953761,513.6,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A
218,1.64E-13,9.56E-17,0.3417,8.310084,2.8393766,49.63,ALDH3A1,aldehyde dehydrogenase 3 family member A1
23601,1.70E-13,1.07E-16,0.3564,-8.29635,-2.9570651,89.25,CLEC5A,C-type lectin domain containing 5A
644596,3.67E-13,2.49E-16,0.2885,8.195557,2.3641692,110.06,SMIM10L2B,small integral membrane protein 10 like 2B
3624,3.94E-13,2.87E-16,0.5163,-8.178599,-4.2229903,2229.54,INHBA,inhibin subunit beta A
128,4.11E-13,3.20E-16,0.1017,8.165669,0.8304008,3896.51,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
3381,4.26E-13,3.52E-16,1.0277,-8.154158,-8.379959,57.2,IBSP,integrin binding sialoprotein
2706,5.57E-13,5.14E-16,0.6394,-8.108122,-5.1846336,995.85,GJB2,gap junction protein beta 2
57167,5.57E-13,5.11E-16,0.4389,-8.108841,-3.5590995,108.39,SALL4,spalt like transcription factor 4
3604,5.85E-13,5.68E-16,0.4684,-8.0959,-3.7922467,112.19,TNFRSF9,TNF receptor superfamily member 9
200150,1.07E-12,1.13E-15,0.2969,8.012143,2.3784514,34.35,PLD5,phospholipase D family member 5
3400,1.07E-12,1.14E-15,0.2986,8.010728,2.392371,2149.3,ID4,inhibitor of DNA binding 4
79192,2.21E-12,2.46E-15,0.4193,7.915409,3.3188393,1189.06,IRX1,iroquois homeobox 1
8728,3.05E-12,3.55E-15,0.3129,-7.86978,-2.4624343,1209.62,ADAM19,ADAM metallopeptidase domain 19
8784,1.10E-11,1.34E-14,0.2881,-7.701973,-2.2189841,278.39,TNFRSF18,TNF receptor superfamily member 18
